,subsr,asset_nm,ct_cl,genre_of_ct_cl,use_tms,SMRY,ACTR_DISP,disp_rtm,strt_dt,month,disp_rtm_s,asset_nm_new,date,day,hour,runningtime,weather,year
6248,64154000,최강 배달꾼 13회,TV드라마,기타,539,"서로의 사랑을 확인한 강수와 단아는 힘을 합쳐 정가빌딩에 대항해나간다. 그러나 식당주들은 정가의 맹공 앞에 곧 싸울 의지를 잃고 식당을 포기하려고 한다. 그로 인해 강수는 실의에 빠지고, 단아는 강수를 일으키기 위해 중대한 결심을 하게 되는데...","고경표,채수빈,김선호,고원희,조희봉,예수정,이민영,김기두,허지원,강봉성",0:57,20230919183711,9,3420,최강배달꾼,2023-09-19,화,18,60분이하,흐림,
6249,65547000,낭만닥터 김사부3 04회(23/05/06),TV드라마,기타,4500,"주택가에서 방화로 인한 화재 사고가 발생하고, 응급실은 순식간에 아수라장이 된다. 응급환자를 진료하던 동화는 우진을 향한 불신으로 우진의 오더에 반기를 들고 나서는데...","한석규,안효섭,이성경",1:15,20230919080539,9,4500,낭만닥터김사부3,2023-09-19,화,8,90분이하,흐림,
6250,65954000,하늘의 인연 099회(23/09/05),TV드라마,기타,1740,"도현은 신제품 지면 광고 모델 교체를 건의하며 윤솔과 진우를 압박하고, 세나는 자신을 둘러싼 루머가 확산되자 불안에 휩싸인다. 한편 윤솔은 세나와 도현을 미행하다가 충격적인 사실을 알게 되는데...","이훈,조은숙,심이영,김유석,고은미,정한용",0:29,20230909041723,9,1740,하늘의인연,2023-09-09,토,4,60분이하,맑음,
6251,60955000,하늘의 인연 099회(23/09/05),TV드라마,기타,1740,"도현은 신제품 지면 광고 모델 교체를 건의하며 윤솔과 진우를 압박하고, 세나는 자신을 둘러싼 루머가 확산되자 불안에 휩싸인다. 한편 윤솔은 세나와 도현을 미행하다가 충격적인 사실을 알게 되는데...","이훈,조은숙,심이영,김유석,고은미,정한용",0:29,20230905221605,9,1740,하늘의인연,2023-09-05,화,22,60분이하,비,
6252,64130000,7인의 탈출 03회(23/09/22),TV드라마,기타,1300,"내일이면 다 바로잡을 수 있어! 진실을 밝힐 마지막 기회예요. 다미는 자신의 결백을 증명하기 위한 라이브 방송을 준비하고, 죄를 덮으려는 악인들의 반격이 시작된다. 생존을 건 진실게임 속에서 소녀는 가족을 지킬 수 있을 것인가.","엄기준,황정음,이준,이유비,신은경,윤종훈,조윤희,조재윤,이덕화",1:16,20230924150322,9,4560,7인의탈출,2023-09-24,일,15,90분이하,맑음,
6253,64130000,금이야 옥이야 024회(23/04/27),TV드라마,기타,1634,만석이 규철과 찬란에게 훈계하는 사이에 수지는 규철이 가져온 산삼을 빼돌린다. 한편 자신의 엄마 선주가 있다는 요양병원으로부터 전화를 받은 잔디는 즉시 병원으로 달려가는데...,"서준영,윤다영,김시후,강다현,김호영,최종환,송채환,이응경,김영호,최재원,이윤성,최필림,반민정,안용준,김동윤",0:28,20230918204414,9,1680,금이야옥이야,2023-09-18,월,20,60분이하,흐림,
6254,66873000,소방서 옆 경찰서 그리고 국과수 11회(23/09/08),TV드라마,기타,4200,폭발한 카라반의 화재 진압을 위해 출동한 태원 소방서와 현장 감식에 나선 경찰과 국과수. 그런데 화재가 진압된 뒤 현장에 남아있던 시신에서 호개의 핸드폰과 공무원증이 발견되고 모두는 큰 충격을 받는다. 가장 호재의 존재가 필요한 시기에 그가 감쪽같이 증발해버렸다.,"김래원,손호준,공승연,오의식,손지윤,강기둥,백은혜,정진우",1:10,20230909171526,9,4200,소방서옆경찰서그리고국과수,2023-09-09,토,17,90분이하,맑음,
6255,64659000,소방서 옆 경찰서 그리고 국과수 11회(23/09/08),TV드라마,기타,4200,폭발한 카라반의 화재 진압을 위해 출동한 태원 소방서와 현장 감식에 나선 경찰과 국과수. 그런데 화재가 진압된 뒤 현장에 남아있던 시신에서 호개의 핸드폰과 공무원증이 발견되고 모두는 큰 충격을 받는다. 가장 호재의 존재가 필요한 시기에 그가 감쪽같이 증발해버렸다.,"김래원,손호준,공승연,오의식,손지윤,강기둥,백은혜,정진우",1:10,20230909044258,9,4200,소방서옆경찰서그리고국과수,2023-09-09,토,4,90분이하,맑음,
6256,65954000,소방서 옆 경찰서 그리고 국과수 11회(23/09/08),TV드라마,기타,4159,폭발한 카라반의 화재 진압을 위해 출동한 태원 소방서와 현장 감식에 나선 경찰과 국과수. 그런데 화재가 진압된 뒤 현장에 남아있던 시신에서 호개의 핸드폰과 공무원증이 발견되고 모두는 큰 충격을 받는다. 가장 호재의 존재가 필요한 시기에 그가 감쪽같이 증발해버렸다.,"김래원,손호준,공승연,오의식,손지윤,강기둥,백은혜,정진우",1:10,20230914134855,9,4200,소방서옆경찰서그리고국과수,2023-09-14,목,13,90분이하,흐림,
6257,66656000,소방서 옆 경찰서 그리고 국과수 11회(23/09/08),TV드라마,기타,1724,폭발한 카라반의 화재 진압을 위해 출동한 태원 소방서와 현장 감식에 나선 경찰과 국과수. 그런데 화재가 진압된 뒤 현장에 남아있던 시신에서 호개의 핸드폰과 공무원증이 발견되고 모두는 큰 충격을 받는다. 가장 호재의 존재가 필요한 시기에 그가 감쪽같이 증발해버렸다.,"김래원,손호준,공승연,오의식,손지윤,강기둥,백은혜,정진우",1:10,20230916125430,9,4200,소방서옆경찰서그리고국과수,2023-09-16,토,12,90분이하,비,
6258,60593000,소방서 옆 경찰서 그리고 국과수 11회(23/09/08),TV드라마,기타,4200,폭발한 카라반의 화재 진압을 위해 출동한 태원 소방서와 현장 감식에 나선 경찰과 국과수. 그런데 화재가 진압된 뒤 현장에 남아있던 시신에서 호개의 핸드폰과 공무원증이 발견되고 모두는 큰 충격을 받는다. 가장 호재의 존재가 필요한 시기에 그가 감쪽같이 증발해버렸다.,"김래원,손호준,공승연,오의식,손지윤,강기둥,백은혜,정진우",1:10,20230914165339,9,4200,소방서옆경찰서그리고국과수,2023-09-14,목,16,90분이하,흐림,
6259,64130000,소방서 옆 경찰서 그리고 국과수 11회(23/09/08),TV드라마,기타,3526,폭발한 카라반의 화재 진압을 위해 출동한 태원 소방서와 현장 감식에 나선 경찰과 국과수. 그런데 화재가 진압된 뒤 현장에 남아있던 시신에서 호개의 핸드폰과 공무원증이 발견되고 모두는 큰 충격을 받는다. 가장 호재의 존재가 필요한 시기에 그가 감쪽같이 증발해버렸다.,"김래원,손호준,공승연,오의식,손지윤,강기둥,백은혜,정진우",1:10,20230910094359,9,4200,소방서옆경찰서그리고국과수,2023-09-10,일,9,90분이하,흐림,
6260,64130000,소방서 옆 경찰서 그리고 국과수 11회(23/09/08),TV드라마,기타,637,폭발한 카라반의 화재 진압을 위해 출동한 태원 소방서와 현장 감식에 나선 경찰과 국과수. 그런데 화재가 진압된 뒤 현장에 남아있던 시신에서 호개의 핸드폰과 공무원증이 발견되고 모두는 큰 충격을 받는다. 가장 호재의 존재가 필요한 시기에 그가 감쪽같이 증발해버렸다.,"김래원,손호준,공승연,오의식,손지윤,강기둥,백은혜,정진우",1:10,20230910104827,9,4200,소방서옆경찰서그리고국과수,2023-09-10,일,10,90분이하,흐림,
6261,67055000,TV소설 은희 125회,TV드라마,기타,2151,"금순은 조형사로부터 24년 전 살인사건의 목격자인 김용팔이 죽었다는 이야기를 듣게 되고 명호는 로라가 불에 탄 편지를 필적감정했다는 사실을 알게된다. 정옥은 길례에게 편지에 대해 아는 게 있냐 묻고, 석구는 이 때문에 불안해 하는데...","경수진,이인,최윤소,정민진",0:36,20230918021402,9,2160,TV소설은희,2023-09-18,월,2,60분이하,흐림,
6262,66875000,가슴이 뛴다 09회(23/07/24),TV드라마,기타,3042,"우혈이 뱀파이어라는 사실을 알게 된 도식은 인해에게 우혈의 정체에 대해 알고 있는지 떠보지만, 오히려 우혈을 감싸는 인해. 설상가상 해원은 우혈에게 더욱 적극적으로 호감을 표현해 오고. 우혈의 마음은 괴롭기만 한데, 인해는 자꾸 우혈에게 잔소리를 퍼붓고...","옥택연,원지안,박강현,윤소희",1:01,20230901133559,9,3660,가슴이뛴다,2023-09-01,금,13,90분이하,맑음,
6263,62421000,아이두아이두 08회,TV드라마,기타,373,"태강의 딱한 처지를 알게 된 지안은 마음이 좋지 않고, 술김에 한 자신의 말실수에 태강도 당황스럽다. 지안의 아버지는 은성을 찾아가 지안을 설득해달라 부탁한다. 한편, 나리는 제이크와 함께 지안을 누르기 위한 작전에 돌입하는데...","김선아,이장우,박건형,임수향",1:03,20230925130609,9,3780,아이두아이두,2023-09-25,월,13,90분이하,비,
6264,62421000,아이두아이두 08회,TV드라마,기타,1373,"태강의 딱한 처지를 알게 된 지안은 마음이 좋지 않고, 술김에 한 자신의 말실수에 태강도 당황스럽다. 지안의 아버지는 은성을 찾아가 지안을 설득해달라 부탁한다. 한편, 나리는 제이크와 함께 지안을 누르기 위한 작전에 돌입하는데...","김선아,이장우,박건형,임수향",1:03,20230925151111,9,3780,아이두아이두,2023-09-25,월,15,90분이하,비,
6265,62421000,아이두아이두 08회,TV드라마,기타,2100,"태강의 딱한 처지를 알게 된 지안은 마음이 좋지 않고, 술김에 한 자신의 말실수에 태강도 당황스럽다. 지안의 아버지는 은성을 찾아가 지안을 설득해달라 부탁한다. 한편, 나리는 제이크와 함께 지안을 누르기 위한 작전에 돌입하는데...","김선아,이장우,박건형,임수향",1:03,20230925122654,9,3780,아이두아이두,2023-09-25,월,12,90분이하,비,
6266,60496000,연인 파트1 03회(23/08/11),TV드라마,기타,221,"오랑캐가 쳐들어왔다. 길채는 연준이 전쟁에 나가는 것을 막으려 하고, 장현은 피난을 가겠다고 선언한다.","남궁민,안은진,이학주,이다인,김윤우,박강섭,박정연,권소현,김서안,최영우",1:05,20230929223254,9,3900,연인파트1,2023-09-29,금,22,90분이하,흐림,
6267,66189000,연인 파트1 03회(23/08/11),TV드라마,기타,3900,"오랑캐가 쳐들어왔다. 길채는 연준이 전쟁에 나가는 것을 막으려 하고, 장현은 피난을 가겠다고 선언한다.","남궁민,안은진,이학주,이다인,김윤우,박강섭,박정연,권소현,김서안,최영우",1:05,20230917102644,9,3900,연인파트1,2023-09-17,일,10,90분이하,비,
6268,60496000,연인 파트1 03회(23/08/11),TV드라마,기타,3642,"오랑캐가 쳐들어왔다. 길채는 연준이 전쟁에 나가는 것을 막으려 하고, 장현은 피난을 가겠다고 선언한다.","남궁민,안은진,이학주,이다인,김윤우,박강섭,박정연,권소현,김서안,최영우",1:05,20230924083122,9,3900,연인파트1,2023-09-24,일,8,90분이하,맑음,
6269,60496000,연인 파트1 03회(23/08/11),TV드라마,기타,3900,"오랑캐가 쳐들어왔다. 길채는 연준이 전쟁에 나가는 것을 막으려 하고, 장현은 피난을 가겠다고 선언한다.","남궁민,안은진,이학주,이다인,김윤우,박강섭,박정연,권소현,김서안,최영우",1:05,20230909212732,9,3900,연인파트1,2023-09-09,토,21,90분이하,맑음,
6270,65463000,연인 파트1 03회(23/08/11),TV드라마,기타,1333,"오랑캐가 쳐들어왔다. 길채는 연준이 전쟁에 나가는 것을 막으려 하고, 장현은 피난을 가겠다고 선언한다.","남궁민,안은진,이학주,이다인,김윤우,박강섭,박정연,권소현,김서안,최영우",1:05,20230905100016,9,3900,연인파트1,2023-09-05,화,10,90분이하,비,
6271,64680000,연인 파트1 03회(23/08/11),TV드라마,기타,3900,"오랑캐가 쳐들어왔다. 길채는 연준이 전쟁에 나가는 것을 막으려 하고, 장현은 피난을 가겠다고 선언한다.","남궁민,안은진,이학주,이다인,김윤우,박강섭,박정연,권소현,김서안,최영우",1:05,20230906173008,9,3900,연인파트1,2023-09-06,수,17,90분이하,맑음,
6272,60496000,연인 파트1 03회(23/08/11),TV드라마,기타,361,"오랑캐가 쳐들어왔다. 길채는 연준이 전쟁에 나가는 것을 막으려 하고, 장현은 피난을 가겠다고 선언한다.","남궁민,안은진,이학주,이다인,김윤우,박강섭,박정연,권소현,김서안,최영우",1:05,20230924114237,9,3900,연인파트1,2023-09-24,일,11,90분이하,맑음,
6273,64680000,연인 파트1 03회(23/08/11),TV드라마,기타,664,"오랑캐가 쳐들어왔다. 길채는 연준이 전쟁에 나가는 것을 막으려 하고, 장현은 피난을 가겠다고 선언한다.","남궁민,안은진,이학주,이다인,김윤우,박강섭,박정연,권소현,김서안,최영우",1:05,20230924170943,9,3900,연인파트1,2023-09-24,일,17,90분이하,맑음,
6274,65463000,연인 파트1 03회(23/08/11),TV드라마,기타,3337,"오랑캐가 쳐들어왔다. 길채는 연준이 전쟁에 나가는 것을 막으려 하고, 장현은 피난을 가겠다고 선언한다.","남궁민,안은진,이학주,이다인,김윤우,박강섭,박정연,권소현,김서안,최영우",1:05,20230905102420,9,3900,연인파트1,2023-09-05,화,10,90분이하,비,
6275,64680000,연인 파트1 03회(23/08/11),TV드라마,기타,1096,"오랑캐가 쳐들어왔다. 길채는 연준이 전쟁에 나가는 것을 막으려 하고, 장현은 피난을 가겠다고 선언한다.","남궁민,안은진,이학주,이다인,김윤우,박강섭,박정연,권소현,김서안,최영우",1:05,20230905071609,9,3900,연인파트1,2023-09-05,화,7,90분이하,비,
