,subsr,SMRY
37,66873000,"레드 와인에 잠긴 진실 - 진주 수면제 사망 사건. 치열한 법정 공방이 이어지고 있는 이른바 진주 수면제 사망사건의 미스터리를 추적하고, 전문가들과 함께 실험을 통해 머그컵 속에 수면제가 잔존한 이유를 파헤친다."
38,64376000,"레드 와인에 잠긴 진실 - 진주 수면제 사망 사건. 치열한 법정 공방이 이어지고 있는 이른바 진주 수면제 사망사건의 미스터리를 추적하고, 전문가들과 함께 실험을 통해 머그컵 속에 수면제가 잔존한 이유를 파헤친다."
39,66873000,"[한독 부부의 별난 신혼일기 3부] 해변에서 씨름판이 벌어지고, 부부는 이웃들과 즐거운 시간을 보낸다. 동영상 촬영을 하러 나온 곳에서 부부는 처음 함께 살던 곳을 추억하고 오랜만에 독일 식당을 찾아 사만다 씨의 향수를 달래준다."
40,66163000,"오은영 리포트 - 결혼 지옥 최초 별거 중인 부부 등장! 남편이 없는 집에서 위치추적 앱을 통해 24시간 남편을 감시하는 아내의 사연은? 아내는 집, 남편은 사무실! 부부싸움 후 시작된 두 사람의 별거. 근무 시간부터 배달 동선까지 감시하는 숨 막히는 아내의 독촉."
41,66873000,TV쇼 진품명품 스페셜 2편 2023 상반기 최고의 솜씨 BEST 7.
42,66353000,[바람과 세월이 빚은 사막의 창 - 미국 아치스 국립공원] 2천 개 이상의 천연 모래 아치로 유명한 미국 아치스 국립공원. 그곳으로 산림교육전문가 이상은 씨와 미국 산악가이드 윤성문 씨가 여정을 나선다.
43,66885000,[한 지붕 해녀 오총사 2부] 몸이 좋지 않은 영희 씨와 만우 씨는 집으로 돌아온다. 젊은 시절 술꾼이었던 만우 씨는 아내가 아픈 게 자기 탓인 것 같아 미안함을 느낀다. 다음 날도 바다에 나가지 못하는 영희 씨. 오늘따라 영희 씨의 빈자리가 크게 느껴진다.
44,66873000,2023 휴대폰 괴담 - 누가 당신을 훔쳐보는가. 인플루언서들에게 접근해 휴대폰을 해킹하고 불법적으로 취득한 촬영물로 N번방과 같은 협박을 일삼고 있는 얼굴 없는 감시자를 추적한다.
45,66873000,2023 휴대폰 괴담 - 누가 당신을 훔쳐보는가. 인플루언서들에게 접근해 휴대폰을 해킹하고 불법적으로 취득한 촬영물로 N번방과 같은 협박을 일삼고 있는 얼굴 없는 감시자를 추적한다.
46,65954000,아내의 입에서 거론되는 남편의 다른여자!? 끝없는 의심에 남편의 출근까지 동행? 남편의 하루를 감시하기 시작한 아내! 이런 날들에 지쳐가는 남편... 의심 속 고통받는 부부의 어린아이들!
47,61683000,본 회차는 방송사의 사정으로 줄거리를 제공하지 않습니다.
48,67055000,본 회차는 방송사의 사정으로 줄거리를 제공하지 않습니다.
49,61683000,본 회차는 방송사의 사정으로 줄거리를 제공하지 않습니다.
50,64385000,"[제가 범인이라는 증거가 뭡니까?] DNA도 없고 지문도 없고 범행 도구도 없고... 미궁 속에 빠진 잔혹한 사건. 택시를 탄 수상한 사람, 잠시 뒤 CCTV에 잡힌 의문의 남자... 하반신의 몽타주라 불리는 신장, 뼈, 관절... 결정적 소모킹 건은?"
51,66163000,"아내를 괴롭히는 남편의 무리한 투자로 발생한 빚. 그렇게 쌓인 빚만 4억 이상? 약관 대출, 토지 담보, 사채 등 모든 경로를 이용한 남편? 심지어 빚을 숨기기까지? 친정 가족까지 분노한 남편의 행동, 더 이상 신뢰할 수 없는 부부. 붕괴 직전의 가정, 그 결말은?"
